study_hours,attendance,previous_grade,parental_support,extracurricular,sleep_hours,assignments_completed,age,year,performance,final_grade
7.2,70.5,54.2,3,1,6.9,17.2,18,2021,Low,63.4
5.7,78.0,67.5,3,3,6.5,69.9,15,2021,Medium,63.0
7.6,68.9,68.3,3,3,6.7,91.8,15,2021,High,71.5
9.8,75.7,75.6,2,1,7.4,71.0,17,2021,Medium,68.9
5.4,53.5,46.1,5,4,6.8,69.6,18,2021,Medium,56.2
5.4,83.0,77.5,3,1,6.9,59.3,15,2021,Low,64.0
9.9,80.0,24.7,3,5,4.9,96.1,19,2021,High,62.0
7.9,68.6,57.9,3,4,7.5,87.9,19,2021,Medium,63.4
4.8,89.2,60.2,3,3,6.9,92.9,17,2021,Medium,68.6
7.4,93.1,78.1,4,4,8.9,46.9,17,2021,High,80.6
4.8,57.5,68.4,5,3,5.9,75.1,18,2021,Medium,62.3
4.8,69.3,45.5,3,1,4.8,73.0,16,2021,Low,47.8
6.6,69.2,52.2,5,2,7.7,72.9,17,2021,Medium,57.2
1.2,66.8,71.2,4,0,7.4,66.9,19,2021,Low,60.5
1.7,91.6,66.7,2,2,5.8,71.8,19,2021,Low,53.1
4.6,77.3,58.7,4,3,5.2,93.3,19,2021,Medium,56.8
3.5,76.3,60.3,3,2,8.8,43.6,16,2021,Low,57.6
6.8,51.9,79.1,4,2,8.7,100.0,16,2021,Medium,68.4
3.7,88.9,59.7,5,2,4.0,86.7,16,2021,Medium,63.1
2.5,62.7,66.6,3,4,6.5,77.2,17,2021,Low,64.5
9.7,80.8,100.0,5,0,9.0,94.3,16,2021,High,91.9
5.4,83.9,45.2,4,2,6.4,51.9,16,2021,Low,54.9
6.2,99.0,38.4,3,1,6.4,66.0,17,2021,Medium,46.7
2.4,61.7,80.5,4,3,6.7,75.8,18,2021,Low,62.3
4.6,37.7,57.1,3,1,5.7,100.0,18,2021,Low,49.9
6.3,82.6,62.9,5,3,5.0,77.2,18,2021,High,60.7
3.1,100.0,55.5,4,1,8.3,86.1,15,2021,Low,68.5
6.9,97.3,63.8,1,1,4.8,67.4,15,2021,Low,60.6
4.5,82.9,93.6,3,4,7.3,86.8,18,2021,Medium,72.3
5.3,73.1,80.8,4,0,8.1,100.0,17,2021,Medium,64.5
4.5,91.3,81.8,1,2,5.3,95.9,17,2021,Medium,68.7
10.6,66.4,45.3,1,0,5.9,76.5,15,2021,Low,44.0
6.0,86.7,49.6,3,2,8.5,90.2,16,2021,Medium,68.4
3.4,87.1,22.6,3,2,7.6,88.4,17,2021,Low,46.8
8.1,94.8,55.0,3,2,6.3,87.1,18,2021,Medium,66.7
2.9,100.0,83.3,3,1,8.4,98.0,19,2021,Medium,60.7
6.5,85.5,76.3,2,2,8.4,97.9,17,2021,Medium,67.4
1.1,72.9,64.5,4,3,7.3,75.7,17,2021,Low,65.0
2.7,79.6,67.6,3,3,5.9,89.6,18,2021,Low,61.6
6.5,55.2,57.0,3,2,6.5,71.1,17,2021,Low,48.9
7.8,70.3,71.3,3,2,7.3,61.4,17,2021,High,66.4
6.4,74.3,80.3,4,1,6.8,73.1,19,2021,High,69.2
5.7,72.7,42.1,2,1,8.1,76.6,18,2021,Low,40.7
5.2,82.1,72.8,2,1,5.2,48.1,19,2021,Low,65.9
2.3,68.5,82.9,2,1,5.2,93.5,16,2021,Low,50.7
4.2,95.7,61.4,4,1,7.2,28.2,17,2021,Medium,63.4
4.8,80.0,79.2,4,2,6.4,100.0,18,2021,Medium,60.0
8.6,79.9,100.0,4,2,6.2,100.0,15,2021,High,81.9
6.9,75.4,66.3,4,4,4.9,73.3,18,2021,High,59.5
1.6,82.2,74.3,4,1,7.0,78.2,16,2021,Low,59.4
6.8,91.6,56.2,3,3,6.9,83.5,18,2021,High,73.3
5.0,67.9,70.9,4,3,7.8,67.4,17,2021,Medium,67.5
4.3,70.8,75.4,1,2,7.1,81.5,16,2021,Low,54.1
7.5,75.7,71.1,4,1,6.8,75.4,17,2021,High,75.6
8.6,61.2,51.7,4,1,8.4,76.3,17,2021,Medium,67.2
8.3,68.5,71.3,3,0,5.4,81.3,17,2021,Low,62.5
3.9,73.3,91.4,3,2,7.6,54.4,17,2021,Medium,80.9
5.2,92.2,75.2,3,3,5.0,78.7,18,2021,Medium,71.0
6.8,83.7,83.4,4,0,6.0,80.9,17,2021,High,75.8
8.4,82.7,64.2,4,1,5.5,80.3,17,2021,High,63.3
4.8,91.9,80.0,5,3,7.9,74.1,15,2021,High,74.9
5.5,78.1,72.5,3,3,6.9,98.5,19,2021,Medium,67.6
3.2,85.5,52.8,4,2,7.0,71.6,16,2021,Low,58.8
3.0,78.6,73.1,4,3,5.7,82.1,17,2021,Medium,60.3
8.0,83.7,52.1,5,2,6.6,100.0,18,2021,High,66.3
9.4,71.8,57.9,3,1,6.1,76.6,16,2021,Medium,59.0
5.8,45.9,71.0,3,2,7.5,81.9,17,2021,Low,49.5
8.5,78.1,72.8,4,2,5.8,76.3,16,2021,High,76.4
6.9,99.9,49.0,4,4,8.6,100.0,18,2021,High,61.0
4.4,93.0,84.9,5,0,5.0,73.4,17,2021,Medium,72.8
6.9,93.5,77.2,2,2,6.0,100.0,18,2021,Medium,71.5
