student_id,study_hours,attendance,previous_grade,parental_support,extracurricular,sleep_hours,assignments_completed,age,gender,performance,final_grade
1,7.2,73.6,59.8,3,1,7.7,81.7,18,Female,Medium,55.5
2,5.7,73.2,65.4,1,2,7.1,84.0,16,Female,Low,52.4
3,7.6,53.1,61.0,5,1,8.5,48.7,15,Male,Low,57.8
4,9.8,75.0,71.7,3,5,8.9,95.1,18,Male,High,73.8
5,5.4,91.0,88.0,4,1,8.1,64.8,19,Female,Medium,73.8
6,5.4,60.9,58.4,2,4,6.1,77.5,17,Female,Low,61.1
7,9.9,95.7,85.0,3,2,5.4,100.0,18,Female,High,76.3
8,7.9,87.3,58.3,3,2,6.2,100.0,15,Female,Medium,64.6
9,4.8,69.0,57.3,3,1,9.9,49.4,16,Male,Low,62.7
10,7.4,77.9,82.3,4,3,7.4,80.5,16,Female,High,77.3
11,4.8,100.0,83.8,3,3,10.2,84.9,19,Female,High,78.3
12,4.8,91.0,82.8,3,2,6.8,52.9,17,Female,Medium,72.6
13,6.6,80.1,50.3,2,0,6.6,94.4,15,Female,Low,52.4
14,1.2,76.4,63.0,2,4,6.9,82.1,16,Male,Low,53.3
15,1.7,81.1,82.3,4,5,6.9,83.5,15,Male,Medium,76.8
16,4.6,72.3,70.6,3,2,5.8,63.5,16,Female,Low,58.7
17,3.5,48.4,53.9,4,3,5.3,87.4,17,Female,Low,51.5
18,6.8,100.0,76.9,4,2,7.8,95.1,16,Female,High,67.5
19,3.7,82.3,59.3,2,2,8.6,82.3,15,Male,Low,59.8
20,2.5,86.0,96.9,2,0,10.7,70.7,15,Female,Low,63.5
21,9.7,79.1,93.2,4,2,6.3,72.2,17,Male,High,83.8
22,5.4,69.0,79.1,4,3,6.5,84.0,17,Male,Medium,71.3
23,6.2,77.2,90.4,3,0,5.8,80.9,17,Female,Medium,70.8
24,2.4,56.0,71.0,2,2,8.7,96.3,18,Male,Low,45.0
25,4.6,100.0,81.5,1,4,8.2,71.4,16,Male,Medium,63.3
26,6.3,61.5,92.2,3,1,5.7,58.1,15,Female,Medium,66.6
27,3.1,64.5,73.7,1,1,5.6,86.5,18,Female,Low,52.8
28,6.9,73.4,66.2,3,3,8.4,71.4,16,Male,Medium,67.1
29,4.5,99.3,44.4,3,1,7.6,94.1,17,Male,Low,62.6
30,5.3,80.2,68.8,2,1,8.1,80.1,19,Male,Medium,61.7
31,4.5,61.5,82.4,2,2,5.7,91.8,17,Female,Low,63.1
32,10.6,98.8,84.2,5,2,4.2,61.7,15,Male,High,83.0
33,6.0,91.0,77.6,4,4,5.7,82.6,19,Female,High,75.9
34,3.4,88.1,61.9,5,3,8.0,67.4,15,Male,Medium,67.1
35,8.1,90.7,40.3,3,2,10.2,58.0,17,Female,Low,54.0
36,2.9,100.0,62.6,4,2,6.4,64.5,16,Male,Low,52.3
37,6.5,100.0,65.4,3,5,10.4,70.2,17,Male,High,67.4
38,1.1,69.7,65.3,4,1,8.2,100.0,17,Female,Low,58.0
39,2.7,100.0,79.3,2,1,4.9,69.7,17,Female,Low,62.4
40,6.5,85.7,99.8,1,5,7.3,57.1,18,Male,High,81.5
41,7.8,87.5,71.9,5,5,8.3,82.4,19,Male,High,80.6
42,6.4,54.6,66.7,4,1,4.0,80.5,15,Male,Low,53.4
43,5.7,77.4,66.1,5,1,8.0,71.1,18,Male,Medium,66.4
44,5.2,67.8,71.9,3,2,8.8,77.1,15,Female,Low,63.8
45,2.3,92.4,57.6,3,0,7.6,97.6,15,Male,Low,51.5
46,4.2,96.1,71.8,3,3,6.9,92.1,19,Female,Medium,61.7
